Date,Open,High,Low,Close,cash,shares,position,market_value,equity,daily_return,signal,executed_position
2025-05-21,580.2758530681597,584.3584282191854,573.7477052570061,574.7732543945312,13123.783084197354,0.0,0,0.0,13123.783084197354,0.0,1,0
2025-05-22,574.5760959985981,578.4811762683786,573.3434386116112,575.0001831054688,-1.8189894035458565e-12,22.817985691880693,1,13120.345950929364,13120.345950929363,-0.00026190110320623017,1,1
2025-05-23,567.988738706783,573.7378691727489,567.6140060747297,571.0753173828125,-1.8189894035458565e-12,22.817985691880693,1,13030.788421027242,13030.78842102724,-0.006825851257053039,1,1
2025-05-27,577.938827709351,583.1061179228353,570.4048112020747,582.9483642578125,-1.8189894035458565e-12,22.817985691880693,1,13301.70743474002,13301.707434740018,0.020790684719859787,0,1
2025-05-28,583.3526236048898,584.545857588394,578.8460211072919,579.5757446289062,13297.624214651654,0.0,0,0.0,13297.624214651654,-0.0003069696208848338,1,0
2025-05-29,584.8318350718904,584.9699071457442,577.9388245287198,581.8635864257812,-1.8189894035458565e-12,22.714797246592315,1,13216.913390836666,13216.913390836664,-0.00606956720329499,1,1
2025-05-30,580.7591289651484,582.9286180198035,575.1480700909575,581.2127685546875,-1.8189894035458565e-12,22.714797246592315,1,13202.130194850311,13202.13019485031,-0.0011185059286689114,1,1
2025-06-02,579.6053591727813,584.5655410710423,576.9428072484826,584.4866943359375,-1.8189894035458565e-12,22.714797246592315,1,13276.496755171798,13276.496755171796,0.005632921295572135,1,1
2025-06-03,584.121791379625,588.7960181097066,583.6385391723649,587.8197631835938,-1.8189894035458565e-12,22.714797246592315,1,13352.206738255241,13352.20673825524,0.005702557269405384,1,1
2025-06-04,588.6777258495218,589.6539808386906,587.2280895107962,587.6619873046875,-1.8189894035458565e-12,22.714797246592315,1,13348.622891155484,13348.622891155483,-0.0002684085986692786,1,1
2025-06-05,589.3383724752952,590.6893600195378,582.8496477946317,584.8218994140625,-1.8189894035458565e-12,22.714797246592315,1,13284.110870557435,13284.110870557433,-0.004832859623354335,1,1
2025-06-06,590.3540722792903,592.4940086999786,588.5790577947733,590.8274536132812,-1.8189894035458565e-12,22.714797246592315,1,13420.52581654611,13420.525816546107,0.010269030973764304,1,1
2025-06-09,591.3993476813894,592.9081490758875,590.1864321834666,591.3599243164062,-1.8189894035458565e-12,22.714797246592315,1,13432.620780607345,13432.620780607343,0.0009012287764704752,1,1
2025-06-10,591.8924030034493,595.0973118762876,590.7781362147839,594.7127685546875,-1.8189894035458565e-12,22.714797246592315,1,13508.779957679308,13508.779957679306,0.005669718390465706,1,1
2025-06-11,595.8074157747775,596.6653405011278,590.9556931519085,593.0166625976562,-1.8189894035458565e-12,22.714797246592315,1,13470.253254756606,13470.253254756604,-0.00285197501501977,0,1
2025-06-12,591.6853731206485,595.3734741210938,591.2021810906274,595.3734741210938,13426.576630928963,0.0,0,0.0,13426.576630928963,-0.003242450086246018,1,0
2025-06-13,590.1963519379123,593.499849631983,587.218232455665,588.7171630859375,1.8189894035458565e-12,22.72660627853636,1,13379.54317487098,13379.543174870982,-0.0035030117766309266,0,1
2025-06-16,592.0700235861916,596.0638215052488,591.8924679557008,594.318359375,13442.289936987327,0.0,0,0.0,13442.289936987327,0.0046897537005743395,0,0
2025-06-17,591.8826784891205,593.401290785268,588.480531921813,589.2398681640625,13442.289936987327,0.0,0,0.0,13442.289936987327,0.0,1,0
2025-06-18,590.1370656402779,592.8784637852062,588.194366715566,589.1509399414062,-1.8189894035458565e-12,22.75548936666266,1,13406.41794919598,13406.417949195979,-0.002668592030041217,1,1
2025-06-20,591.8224395288368,592.8906208578056,586.3629131433069,587.7673950195312,-1.8189894035458565e-12,22.75548936666266,1,13374.934707437953,13374.934707437951,-0.002348370897978458,1,1
2025-06-23,588.5190130228361,593.9587392448562,585.4035696790836,593.5730590820312,-1.8189894035458565e-12,22.75548936666266,1,13507.045434278589,13507.045434278587,0.009877485739587799,1,1
2025-06-24,597.7072083922786,601.1885919192599,596.7972471416377,600.13037109375,-1.8189894035458565e-12,22.75548936666266,1,13656.260278035143,13656.26027803514,0.011047186039507384,1,1
2025-06-25,601.2479344884113,601.9402753154866,598.9039119654944,600.4666137695312,-1.8189894035458565e-12,22.75548936666266,1,13663.911644668502,13663.9116446685,0.0005602827185173798,0,1
2025-06-26,602.3161684365299,605.5997923429508,601.7029677445283,605.1646118164062,13692.296593560013,0.0,0,0.0,13692.296593560013,0.002077366249846113,1,0
2025-06-27,606.1634816784541,609.6350254118207,604.1359596054803,608.1712036132812,0.0,22.565883582216514,1,13723.9205787938,13723.9205787938,0.0023096187712339233,1,1
2025-06-30,610.6142201701539,612.4340220516922,608.2998373553096,611.0790405273438,0.0,22.565883582216514,1,13789.538488072607,13789.538488072607,0.004781280167141189,1,1
2025-07-01,609.6054458188352,612.0484090785977,608.7746849801475,610.88134765625,0.0,22.565883582216514,1,13785.077373758471,13785.077373758471,-0.0003235144031827897,0,1
2025-07-02,610.4757300098587,613.6901136433279,609.8526292762224,613.6505737304688,13762.151772899006,0.0,0,0.0,13762.151772899006,-0.001663073788987779,1,0
2025-07-03,615.628656191773,619.4167005776212,615.6088560521965,618.4869995117188,-1.8189894035458565e-12,22.33229366045045,1,13812.233298266578,13812.233298266576,0.003639076664318841,1,1
2025-07-07,616.5286747873084,617.1913758193931,611.0988485499288,613.8780517578125,-1.8189894035458565e-12,22.33229366045045,1,13709.304923560669,13709.304923560667,-0.007451971921066947,1,1
2025-07-08,614.5406287940525,615.2923096464036,612.7307271465106,613.541748046875,-1.8189894035458565e-12,22.33229366045045,1,13701.794490328914,13701.794490328912,-0.0005478347205515322,1,1
2025-07-09,615.945166968477,617.8737488887257,614.1055045789822,617.2210083007812,-1.8189894035458565e-12,22.33229366045045,1,13783.96081077237,13783.960810772369,0.00599675615492945,1,1
2025-07-10,617.3595500232223,620.000273214104,616.1825885407072,618.9617919921875,-1.8189894035458565e-12,22.33229366045045,1,13822.836503368178,13822.836503368177,0.0028203571621754353,1,1
