date,timestamp,model_action,market_price,position,position_size,cash,entry_date,entry_price,current_equity,realized_pnl,unrealized_pnl,cumulative_return,maximum_drawdown,trade_count,winning_trades,losing_trades,win_rate,time_in_market,transaction_cost,transaction_costs
2018-07-02,2018-07-02,1,240.6988983154297,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,25.663296930573413,15.6761285790387,-0.012831648465286706,1.5663296930573414,-0.04097433923154026,275,113,24,0.8248175182481752,0.5498533724340176,0.012831648465286706,2.2656522006022417
2018-07-03,2018-07-03,1,239.84896850585935,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,25.57267748351402,15.6761285790387,-0.1034510955246791,1.5572677483514021,-0.04097433923154026,275,113,24,0.8248175182481752,0.5505124450951684,0.0,2.2656522006022417
2018-07-05,2018-07-05,1,241.8055877685547,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,25.781292069912446,15.6761285790387,0.10516349087374657,1.5781292069912447,-0.04097433923154026,275,113,24,0.8248175182481752,0.5511695906432749,0.0,2.2656522006022417
2018-07-06,2018-07-06,1,243.8508758544922,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,25.99936051902181,15.6761285790387,0.3232319399831102,1.5999360519021808,-0.04097433923154026,275,113,24,0.8248175182481752,0.5518248175182482,0.0,2.2656522006022417
2018-07-09,2018-07-09,1,246.046630859375,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.233471738771783,15.6761285790387,0.5573431597330835,1.6233471738771783,-0.04097433923154026,275,113,24,0.8248175182481752,0.5524781341107872,0.0,2.2656522006022417
2018-07-10,2018-07-10,1,246.93197631835935,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.32786719948667,15.6761285790387,0.6517386204479688,1.6327867199486668,-0.04097433923154026,275,113,24,0.8248175182481752,0.5531295487627366,0.0,2.2656522006022417
2018-07-11,2018-07-11,1,245.1257781982422,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.135290503056318,15.6761285790387,0.45916192401761824,1.6135290503056319,-0.04097433923154026,275,113,24,0.8248175182481752,0.5537790697674418,0.0,2.2656522006022417
2018-07-12,2018-07-12,1,247.34800720214844,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.372224378425546,15.6761285790387,0.6960957993868465,1.6372224378425546,-0.04097433923154026,275,113,24,0.8248175182481752,0.5544267053701016,0.0,2.2656522006022417
2018-07-13,2018-07-13,1,247.5428771972656,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.393001401430435,15.6761285790387,0.7168728223917359,1.6393001401430434,-0.04097433923154026,275,113,24,0.8248175182481752,0.5550724637681159,0.0,2.2656522006022417
2018-07-16,2018-07-16,1,247.3214569091797,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.369393588352057,15.6761285790387,0.6932650093133578,1.636939358835206,-0.04097433923154026,275,113,24,0.8248175182481752,0.5557163531114327,0.0,2.2656522006022417
2018-07-17,2018-07-17,1,248.3219757080078,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.476068821178835,15.6761285790387,0.7999402421401353,1.6476068821178833,-0.04097433923154026,275,113,24,0.8248175182481752,0.5563583815028902,0.0,2.2656522006022417
2018-07-18,2018-07-18,1,248.8443603515625,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.531765429320128,15.6761285790387,0.8556368502814283,1.6531765429320129,-0.04097433923154026,275,113,24,0.8248175182481752,0.556998556998557,0.0,2.2656522006022417
2018-07-19,2018-07-19,1,247.9058990478516,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.431706761567423,15.6761285790387,0.755578182528723,1.6431706761567422,-0.04097433923154026,275,113,24,0.8248175182481752,0.5576368876080692,0.0,2.2656522006022417
2018-07-20,2018-07-20,1,247.62249755859372,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.401490517869206,15.6761285790387,0.7253619388305065,1.6401490517869206,-0.04097433923154026,275,113,24,0.8248175182481752,0.5582733812949641,0.0,2.2656522006022417
2018-07-23,2018-07-23,1,248.0829315185547,1,0.1066199185379832,0.0,2018-07-02,240.6988983154297,26.450581949172363,15.6761285790387,0.7744533701336639,1.6450581949172363,-0.04097433923154026,275,113,24,0.8248175182481752,0.5589080459770115,0.0,2.2656522006022417
2018-07-24,2018-07-24,0,249.33135986328125,0,0.0,26.570397432948827,,,26.570397432948827,16.570397432948827,0.0,1.6570397432948827,-0.04097433923154026,276,114,24,0.8260869565217391,0.5581061692969871,0.01329184463879381,2.2789440452410354
2018-07-25,2018-07-25,0,251.45623779296875,0,0.0,26.570397432948827,,,26.570397432948827,16.570397432948827,0.0,1.6570397432948827,-0.04097433923154026,276,114,24,0.8260869565217391,0.5573065902578797,0.0,2.2789440452410354
2018-07-26,2018-07-26,0,250.8630523681641,0,0.0,26.570397432948827,,,26.570397432948827,16.570397432948827,0.0,1.6570397432948827,-0.04097433923154026,276,114,24,0.8260869565217391,0.5565092989985694,0.0,2.2789440452410354
2018-07-27,2018-07-27,0,249.16310119628903,0,0.0,26.570397432948827,,,26.570397432948827,16.570397432948827,0.0,1.6570397432948827,-0.04097433923154026,276,114,24,0.8260869565217391,0.5557142857142857,0.0,2.2789440452410354
2018-07-30,2018-07-30,1,247.8615875244141,1,0.10714495593592624,-3.552713678800501e-15,2018-07-30,247.8615875244141,26.55711887351207,16.570397432948827,-0.013278559436756038,1.655711887351207,-0.04097433923154026,277,114,24,0.8260869565217391,0.5563480741797432,0.013278559436756038,2.2922226046777916
2018-07-31,2018-07-31,0,249.0834197998047,0,0.0,26.674688022800478,,,26.674688022800478,16.674688022800478,0.0,1.6674688022800477,-0.04097433923154026,278,115,24,0.8273381294964028,0.5555555555555556,0.013344016019409946,2.3055666206972014
2018-08-01,2018-08-01,1,248.66726684570312,1,0.10721699595737971,-3.552713678800501e-15,2018-08-01,248.66726684570312,26.66135734412841,16.674688022800478,-0.013330678672064208,1.6661357344128414,-0.04097433923154026,279,115,24,0.8273381294964028,0.5561877667140825,0.013330678672064208,2.3188972993692656
2018-08-02,2018-08-02,1,250.02198791503903,1,0.10721699595737971,-3.552713678800501e-15,2018-08-01,248.66726684570312,26.806606467542775,16.674688022800478,0.1319184447422987,1.6806606467542773,-0.04097433923154026,279,115,24,0.8273381294964028,0.5568181818181818,0.0,2.3188972993692656
2018-08-03,2018-08-03,1,251.0932159423828,1,0.10721699595737971,-3.552713678800501e-15,2018-08-01,248.66726684570312,26.921460318619925,16.674688022800478,0.24677229581944887,1.6921460318619923,-0.04097433923154026,279,115,24,0.8273381294964028,0.5574468085106383,0.0,2.3188972993692656
2018-08-06,2018-08-06,1,252.0140380859375,1,0.10721699595737971,-3.552713678800501e-15,2018-08-01,248.66726684570312,27.020188102662896,16.674688022800478,0.3455000798624201,1.7020188102662894,-0.04097433923154026,279,115,24,0.8273381294964028,0.5580736543909348,0.0,2.3188972993692656
2018-08-07,2018-08-07,1,252.84629821777344,1,0.10721699595737971,-3.552713678800501e-15,2018-08-01,248.66726684570312,27.109420533853438,16.674688022800478,0.434732511052962,1.7109420533853439,-0.04097433923154026,279,115,24,0.8273381294964028,0.5586987270155587,0.0,2.3188972993692656
2018-08-08,2018-08-08,1,252.7400360107422,1,0.10721699595737971,-3.552713678800501e-15,2018-08-01,248.66726684570312,27.098027419231745,16.674688022800478,0.42333939643126856,1.7098027419231743,-0.04097433923154026,279,115,24,0.8273381294964028,0.559322033898305,0.0,2.3188972993692656
2018-08-09,2018-08-09,1,252.39480590820312,1,0.10721699595737971,-3.552713678800501e-15,2018-08-01,248.66726684570312,27.061012884723446,16.674688022800478,0.3863248619229704,1.7061012884723445,-0.04097433923154026,279,115,24,0.8273381294964028,0.5599435825105783,0.0,2.3188972993692656
2018-08-10,2018-08-10,0,250.7036590576172,0,0.0,26.866253353081,,,26.866253353081,16.866253353081,0.0,1.6866253353080998,-0.04097433923154026,280,116,24,0.8285714285714286,0.5591549295774648,0.013439846599840422,2.332337145969106
2018-08-13,2018-08-13,1,249.76513671875,1,0.10751231053455243,0.0,2018-08-13,249.76513671875,26.852826939611194,16.866253353081,-0.013426413469805597,1.6852826939611196,-0.04097433923154026,281,116,24,0.8285714285714286,0.559774964838256,0.013426413469805597,2.3457635594389115
2018-08-14,2018-08-14,0,251.35882568359372,0,0.0,27.010656038433712,,,27.010656038433712,17.010656038433712,0.0,1.7010656038433711,-0.04097433923154026,282,117,24,0.8297872340425532,0.5589887640449438,0.01351208406124748,2.3592756435001587
2018-08-15,2018-08-15,0,249.48182678222656,0,0.0,27.010656038433712,,,27.010656038433712,17.010656038433712,0.0,1.7010656038433711,-0.04097433923154026,282,117,24,0.8297872340425532,0.5582047685834503,0.0,2.3592756435001587
2018-08-16,2018-08-16,0,251.5005798339844,0,0.0,27.010656038433712,,,27.010656038433712,17.010656038433712,0.0,1.7010656038433711,-0.04097433923154026,282,117,24,0.8297872340425532,0.5574229691876751,0.0,2.3592756435001587
2018-08-17,2018-08-17,0,252.3859100341797,0,0.0,27.010656038433712,,,27.010656038433712,17.010656038433712,0.0,1.7010656038433711,-0.04097433923154026,282,117,24,0.8297872340425532,0.5566433566433566,0.0,2.3592756435001587
2018-08-20,2018-08-20,0,252.92593383789065,0,0.0,27.010656038433712,,,27.010656038433712,17.010656038433712,0.0,1.7010656038433711,-0.04097433923154026,282,117,24,0.8297872340425532,0.5558659217877095,0.0,2.3592756435001587
2018-08-21,2018-08-21,0,253.5192108154297,0,0.0,27.010656038433712,,,27.010656038433712,17.010656038433712,0.0,1.7010656038433711,-0.04097433923154026,282,117,24,0.8297872340425532,0.5550906555090656,0.0,2.3592756435001587
2018-08-22,2018-08-22,1,253.36871337890625,1,0.10655284584932284,0.0,2018-08-22,253.36871337890625,26.99715745970386,17.010656038433712,-0.013498578729851931,1.6997157459703862,-0.04097433923154026,283,117,24,0.8297872340425532,0.5557103064066853,0.013498578729851931,2.3727742222300106
2018-08-23,2018-08-23,1,253.03211975097656,1,0.10655284584932284,0.0,2018-08-22,253.36871337890625,26.961292450753202,17.010656038433712,-0.04936358768051018,1.69612924507532,-0.04097433923154026,283,117,24,0.8297872340425532,0.5563282336578581,0.0,2.3727742222300106
2018-08-24,2018-08-24,1,254.5549468994141,1,0.10655284584932284,0.0,2018-08-22,253.36871337890625,27.123554017155833,17.010656038433712,0.11289797872212039,1.712355401715583,-0.04097433923154026,283,117,24,0.8297872340425532,0.5569444444444445,0.0,2.3727742222300106
2018-08-27,2018-08-27,0,256.5649108886719,0,0.0,27.324052539565773,,,27.324052539565773,17.324052539565773,0.0,1.7324052539565775,-0.04097433923154026,284,118,24,0.8309859154929577,0.5561719833564494,0.013668860700132953,2.3864430829301435
2018-08-28,2018-08-28,1,256.6888427734375,1,0.10639495291581658,-3.552713678800501e-15,2018-08-28,256.6888427734375,27.310397340895324,17.324052539565773,-0.013655198670447665,1.7310397340895323,-0.04097433923154026,285,118,24,0.8309859154929577,0.556786703601108,0.013655198670447665,2.400098281600591
2018-08-29,2018-08-29,0,258.070068359375,0,0.0,27.443624095691227,,,27.443624095691227,17.443624095691227,0.0,1.7443624095691228,-0.04097433923154026,286,119,24,0.8321678321678322,0.5560165975103735,0.013728676386038634,2.41382695798663
2018-08-30,2018-08-30,1,257.0252380371094,1,0.10672068373752593,0.0,2018-08-30,257.0252380371094,27.429909141120667,17.443624095691227,-0.013714954570560335,1.7429909141120667,-0.04097433923154026,287,119,24,0.8321678321678322,0.5566298342541437,0.013714954570560335,2.42754191255719
2018-08-31,2018-08-31,0,257.0340576171875,0,0.0,27.417134947550515,,,27.417134947550515,17.417134947550515,0.0,1.7417134947550514,-0.04097433923154026,288,119,25,0.8263888888888888,0.5558620689655173,0.013715425186368443,2.4412573377435582
2018-09-04,2018-09-04,1,256.59136962890625,1,0.10679795376815325,-3.552713678800501e-15,2018-09-04,256.59136962890625,27.403433230935047,17.417134947550515,-0.013701716615467525,1.7403433230935046,-0.04097433923154026,289,119,25,0.8263888888888888,0.5564738292011019,0.013701716615467525,2.454959054359026
2018-09-05,2018-09-05,0,255.9008331298828,0,0.0,27.3160205031642,,,27.3160205031642,17.3160205031642,0.0,1.73160205031642,-0.04097433923154026,290,119,26,0.8206896551724138,0.5557083906464925,0.013664842672918563,2.4686238970319443
2018-09-06,2018-09-06,0,255.13047790527344,0,0.0,27.3160205031642,,,27.3160205031642,17.3160205031642,0.0,1.73160205031642,-0.04097433923154026,290,119,26,0.8206896551724138,0.554945054945055,0.0,2.4686238970319443
2018-09-07,2018-09-07,1,254.63473510742188,1,0.10722170055466704,-3.552713678800501e-15,2018-09-07,254.63473510742188,27.302369318504947,17.3160205031642,-0.013651184659252476,1.7302369318504947,-0.04097433923154026,291,119,26,0.8206896551724138,0.5555555555555556,0.013651184659252476,2.482275081691197
2018-09-10,2018-09-10,0,255.0774078369141,0,0.0,27.336158524629603,,,27.336158524629603,17.336158524629603,0.0,1.7336158524629601,-0.04097433923154026,292,120,26,0.821917808219178,0.5547945205479452,0.013674916720675142,2.4959499984118723
2018-09-11,2018-09-11,1,255.9185333251953,1,0.1067624799227532,-3.552713678800501e-15,2018-09-11,255.9185333251953,27.32249727599161,17.336158524629603,-0.013661248637995806,1.7322497275991608,-0.04097433923154026,293,120,26,0.821917808219178,0.5554035567715458,0.013661248637995806,2.509611247049868
2018-09-12,2018-09-12,1,255.98052978515625,1,0.1067624799227532,-3.552713678800501e-15,2018-09-11,255.9185333251953,27.329116171803467,17.336158524629603,-0.0070423528261377676,1.7329116171803465,-0.04097433923154026,293,120,26,0.821917808219178,0.5560109289617486,0.0,2.509611247049868
2018-09-13,2018-09-13,1,257.4945068359375,1,0.1067624799227532,-3.552713678800501e-15,2018-09-11,255.9185333251953,27.49075211629101,17.336158524629603,0.15459359166140504,1.7490752116291008,-0.04097433923154026,293,120,26,0.821917808219178,0.5566166439290586,0.0,2.509611247049868
2018-09-14,2018-09-14,0,257.53875732421875,0,0.0,27.481728669953633,,,27.481728669953633,17.481728669953633,0.0,1.7481728669953633,-0.04097433923154026,294,121,26,0.8231292517006803,0.555858310626703,0.013747738204078857,2.523358985253947
2018-09-17,2018-09-17,1,256.17529296875,1,0.10722343421294754,-7.105427357601002e-15,2018-09-17,256.17529296875,27.467994672617323,17.481728669953633,-0.013733997336308664,1.7467994672617322,-0.04097433923154026,295,121,26,0.8231292517006803,0.5564625850340136,0.013733997336308664,2.5370929825902557
2018-09-18,2018-09-18,0,257.5652770996094,0,0.0,27.60322502785725,,,27.60322502785725,17.60322502785725,0.0,1.760322502785725,-0.04097433923154026,296,122,26,0.8243243243243243,0.5557065217391305,0.013808516772314787,2.5509014993625705
2018-09-19,2018-09-19,1,257.8398132324219,1,0.10700221182611254,-3.552713678800501e-15,2018-09-19,257.8398132324219,27.589430312700898,17.60322502785725,-0.01379471515635045,1.75894303127009,-0.04097433923154026,297,122,26,0.8243243243243243,0.5563093622795116,0.01379471515635045,2.564696214518921
2018-09-20,2018-09-20,0,259.9291687011719,0,0.0,27.799089471163555,,,27.799089471163555,17.799089471163555,0.0,1.7799089471163554,-0.04097433923154026,298,123,26,0.825503355704698,0.5555555555555556,0.013906497984574067,2.578602712503495
2018-09-21,2018-09-21,0,259.69171142578125,0,0.0,27.799089471163555,,,27.799089471163555,17.799089471163555,0.0,1.7799089471163554,-0.04097433923154026,298,123,26,0.825503355704698,0.5548037889039242,0.0,2.578602712503495
2018-09-24,2018-09-24,1,258.8291931152344,1,0.1073495479327822,-3.552713678800501e-15,2018-09-24,258.8291931152344,27.78519687272719,17.799089471163555,-0.013892598436363597,1.778519687272719,-0.04097433923154026,299,123,26,0.825503355704698,0.5554054054054054,0.013892598436363597,2.5924953109398587
2018-09-25,2018-09-25,0,258.5889587402344,0,0.0,27.745528117262438,,,27.745528117262438,17.745528117262438,0.0,1.774552811726244,-0.04097433923154026,300,123,27,0.82,0.5546558704453441,0.013879703910586514,2.606375014850445
2018-09-26,2018-09-26,0,257.8152160644531,0,0.0,27.745528117262438,,,27.745528117262438,17.745528117262438,0.0,1.774552811726244,-0.04097433923154026,300,123,27,0.82,0.5539083557951483,0.0,2.606375014850445
2018-09-27,2018-09-27,1,258.5356140136719,1,0.10726437977188269,0.0,2018-09-27,258.5356140136719,27.731662286119377,17.745528117262438,-0.01386583114305969,1.7731662286119376,-0.04097433923154026,301,123,27,0.82,0.5545087483176312,0.01386583114305969,2.620240845993505
2018-09-28,2018-09-28,1,258.5623779296875,1,0.10726437977188269,0.0,2018-09-27,258.5356140136719,27.73453310097106,17.745528117262438,-0.010995016291376966,1.7734533100971062,-0.04097433923154026,301,123,27,0.82,0.5551075268817204,0.0,2.620240845993505
2018-10-01,2018-10-01,0,259.4607238769531,0,0.0,27.816978175014178,,,27.816978175014178,17.816978175014178,0.0,1.781697817501418,-0.04097433923154026,302,124,27,0.8211920529801324,0.5543624161073826,0.013915446810912545,2.6341562928044175
2018-10-02,2018-10-02,0,259.3094482421875,0,0.0,27.816978175014178,,,27.816978175014178,17.816978175014178,0.0,1.781697817501418,-0.04097433923154026,302,124,27,0.8211920529801324,0.5536193029490617,0.0,2.6341562928044175
2018-10-03,2018-10-03,0,259.4517822265625,0,0.0,27.816978175014178,,,27.816978175014178,17.816978175014178,0.0,1.781697817501418,-0.04097433923154026,302,124,27,0.8211920529801324,0.5528781793842035,0.0,2.6341562928044175
