Date,action,daily_return,equity
2024-07-08,1,0.0009723972844888,11112.570015303627
2024-07-09,1,0.0098953951660731,11222.533286915712
2024-07-10,1,-0.0086226769078532,11125.76500829501
2024-07-11,1,0.0063076270313913,11195.942184406238
2024-07-12,1,0.0027500647684435,11226.731750557105
2024-07-15,1,0.0059302267877525,11293.30881592317
2024-07-16,1,-0.0140211265946459,11134.963903342681
2024-07-17,1,-0.0076849785890167,11049.39194415602
2024-07-18,1,-0.0066405287279913,10976.018139524016
2024-07-19,1,0.0103098544358584,11089.17928882785
2024-07-22,0,0.0,11083.634699183438
2024-07-23,1,-0.0226623087748173,10827.037720309623
2024-07-24,1,-0.0052104232939341,10770.62427076742
2024-07-25,0,0.0,10765.238958632037
2024-07-26,0,0.0,10765.238958632037
2024-07-29,0,0.0,10765.238958632037
2024-07-30,0,0.0,10765.238958632037
2024-07-31,0,0.0,10765.238958632037
2024-08-01,0,0.0,10765.238958632037
2024-08-02,0,0.0,10765.238958632037
2024-08-05,1,0.0092196072528221,10859.057988696499
2024-08-06,1,-0.0066841038060424,10786.474917864216
2024-08-07,0,0.0,10781.081680405285
2024-08-08,0,0.0,10781.081680405285
2024-08-09,0,0.0,10781.081680405285
2024-08-12,0,0.0,10781.081680405285
2024-08-13,0,0.0,10781.081680405285
2024-08-14,0,0.0,10781.081680405285
2024-08-15,1,0.0022419933971566,10799.850167949788
2024-08-16,0,0.0,10794.450242865812
2024-08-19,0,0.0,10794.450242865812
2024-08-20,0,0.0,10794.450242865812
2024-08-21,0,0.0,10794.450242865812
2024-08-22,0,0.0,10794.450242865812
2024-08-23,0,0.0,10794.450242865812
2024-08-26,0,0.0,10794.450242865812
2024-08-27,0,0.0,10794.450242865812
2024-08-28,1,8.952903141112856e-05,10790.018951210901
2024-08-29,0,0.0,10784.623941735295
2024-08-30,0,0.0,10784.623941735295
2024-09-03,0,0.0,10784.623941735295
2024-09-04,0,0.0,10784.623941735295
2024-09-05,0,0.0,10784.623941735295
2024-09-06,0,0.0,10784.623941735295
2024-09-09,0,0.0,10784.623941735295
2024-09-10,0,0.0,10784.623941735295
2024-09-11,0,0.0,10784.623941735295
2024-09-12,0,0.0,10784.623941735295
2024-09-13,0,0.0,10784.623941735295
2024-09-16,0,0.0,10784.623941735295
